movie_id,director_popularity
5559,1.194
153518,0.602
9316,1.22
50544,0.6
253412,1.96
597890,1.722
10229,1.8
13788,3.41
324849,2.289
879,12.777
590223,0.98
87827,3.391
9904,0.6
71880,3.202
59967,2.66
257088,0.704
158852,4.596
76544,28.768
10925,2.351
54138,6.737
676,3.812
43947,0.732
195589,2.137
342473,0.6
347126,0.6
888,0.898
10948,1.05
10012,2.642
215,1.548
287903,1.273
599975,0.6
98,13.93
10996,0.984
440471,1.498
9358,0.6
12155,5.116
1427,0.873
101,4.218
205584,1.4
9100,0.648
268,5.116
381284,0.694
72571,0.6045
8645,6.354
254470,8.063
216282,1.286
13680,0.6
857,12.777
82703,0.984
38,1.08
181533,5.383
41439,1.523
68812,1.729
578,12.777
11886,1.03
107846,1.38
62213,5.116
8456,1.62
72213,0.828
18126,0.6
109414,3.7735
15512,3.0315000000000003
11631,0.84
11811,0.6
834,3.312
9378,0.6
109451,1.2369999999999999
454619,1.008
26389,1.116
42889,0.6245
43593,1.746
65759,3.142
2758,2.088
218,6.016
564,1.301
10545,1.8
36419,0.6
27579,1.052
28178,2.551
7443,1.0775000000000001
218043,1.932
397567,1.22
453405,3.391
10661,3.202
276907,1.4
607,2.088
11036,2.813
205596,1.96
76285,1.217
6795,10.681
177677,3.108
2383,1.255
14001,3.427
10501,1.1815
341013,3.308
9431,1.4
10992,0.6
7131,1.301
807,5.118
77931,1.788
438650,1.62
267860,0.6
1576,3.076
5174,1.943
152259,0.84
170,5.586
188927,4.07
9021,1.174
325133,2.137
151960,1.176
214,1.548
10073,0.6
93837,1.4
133805,0.84
22538,6.802
493922,3.042
9016,1.3359999999999999
13387,1.533
8247,2.309
562,3.002
1374,16.073
62214,5.116
14411,1.4
73723,1.319
310,1.604
1585,2.223
10591,0.6
9348,2.393
9730,0.98
10439,1.852
300668,2.1
2300,0.6
855,13.93
1366,0.765
10781,1.464
19556,0.714
238713,1.851
9353,0.6
240,3.502
474395,0.72
348350,4.299
205587,2.388
11130,1.632
11770,3.309
16007,0.828
137094,6.242
10320,1.22
332562,8.489
598,1.284
5175,1.943
442062,1.38
82390,1.38
1091,4.257
4108,2.2119999999999997
277,3.312
169,2.178
608,2.088
426543,2.8449999999999998
489,1.756
419430,3.621
109428,1.158
72559,0.69
8358,3.087
22970,2.493
192141,1.052
9072,1.4
588,1.4
58224,0.774
460019,1.62
375588,1.4
4951,1.011
280217,3.067
2907,2.088
433,1.286
9340,2.548
116149,0.692
640,12.777
82507,1.822
46529,1.954
68728,5.376
323272,0.828
1402,1.722
1370,1.111
458253,0.6
1271,9.926
14444,0.6
13474,0.667
7980,4.908
476968,1.4
121856,1.4
13207,0.996
274857,6.89
24831,1.62
11917,0.949
37169,1.108
41513,1.788
290595,2.841
22804,1.523
49527,0.6
18009,0.6
59860,1.4
114,1.632
59859,1.62
211672,1.4315
9737,3.812
28005,0.996
193756,3.378
600,5.816
50646,3.9619999999999997
128,4.591
262841,1.725
228205,0.6
11011,0.972
456740,1.703
2109,1.943
11690,0.98
679,6.016
299687,1.085
193610,2.813
300168,1.4
24,6.853
10530,1.3445
270303,0.98
16859,4.591
377,2.642
429351,0.6
565,1.994
268531,1.052
413518,1.094
277216,3.074
490132,3.009
51540,1.176
95,3.812
298250,0.72
433808,0.809
252838,0.6
316029,0.98
1368,1.303
77805,1.064
274167,0.828
374720,7.796
1927,3.391
254,4.908
1417,7.468
406990,0.6
308266,3.138
98357,0.755
764,5.376
399055,7.468
192577,1.96
82693,1.87
185,5.816
663,1.548
227348,0.779
84174,0.6
137106,1.871
41446,2.642
424,12.777
551804,0.779
12222,0.6775
415214,0.6
206487,0.72
445651,2.054
1893,7.801
132232,1.277
399019,3.35
333596,0.6
72358,1.308
197,10.471
9480,1.535
286567,0.6
157845,1.176
602,2.212
480881,4.359
295693,2.115
14564,0.6
4232,2.642
238615,1.288
1572,3.002
11357,2.241
51828,1.4
2667,1.005
406997,1.351
8078,2.556
44214,3.059
567609,0.647
11283,1.4
346648,0.692
162,5.116
11470,1.166
419478,0.714
7485,2.853
395990,3.245
744,3.369
