,name,actor_id,gender,character,actor_popularity,movie_id
236,Willem Dafoe,5293.0,2.0,Norman Osborn / Green Goblin,16.354,559
237,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,671
238,Emma Watson,10990.0,1.0,Hermione Granger,23.219,671
239,Richard Harris,194.0,2.0,Albus Dumbledore,13.196,671
240,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,671
241,Jason Momoa,117642.0,2.0,Ray Cooper,24.002,619297
242,Isabela Merced,1428070.0,1.0,Rachel Cooper,13.311,619297
243,Josephine Langford,1753914.0,1.0,Tessa Young,18.476,613504
244,Hero Fiennes Tiffin,1114487.0,2.0,Hardin Scott,10.69,613504
245,Dylan Arnold,1039523.0,2.0,Noah Porter,19.614,613504
246,Andy García,1271.0,2.0,Ambassador Williams,10.762,767304
247,Robert Knepper,17343.0,2.0,Mysterious Oil Lobbyist,13.307,767304
248,Patrick Wilson,17178.0,2.0,Ed Warren,11.978,423108
249,Vera Farmiga,21657.0,1.0,Lorraine Warren,11.72,423108
250,Sydney Sweeney,115440.0,1.0,Eva,17.834,669671
251,Megan Fox,19537.0,1.0,Grace,11.093,669671
252,Nicolas Cage,2963.0,2.0,Grug Crood (voice),14.831,529203
253,Emma Stone,54693.0,1.0,Eep Crood (voice),13.657,529203
254,Ryan Reynolds,10859.0,2.0,Guy (voice),86.798,529203
255,Tara Strong,15762.0,1.0,Sash (voice),10.319,529203
256,Tom Skerritt,4139.0,2.0,Dex,13.249,859860
257,Awkwafina,1625558.0,1.0,Sisu (voice),41.972,527774
258,Gemma Chan,97576.0,1.0,Namaari (voice),28.623,527774
259,Benedict Wong,30082.0,2.0,Tong (voice),23.568,527774
260,Andrew Garfield,37625.0,2.0,Peter Parker / Spider-Man,26.284,102382
261,Emma Stone,54693.0,1.0,Gwen Stacy,13.657,102382
262,Jamie Foxx,134.0,2.0,Max Dillon / Electro,12.673,102382
263,Paul Giamatti,13242.0,2.0,Aleksei Sytsevich / The Rhino,10.01,102382
264,Embeth Davidtz,6368.0,1.0,Mary Parker,11.23,102382
265,Sarah Gadon,190895.0,1.0,Kari,11.451,102382
266,Tyrese Gibson,8169.0,2.0,Kyle Snowden,10.361,825997
267,Ruby Rose,1246972.0,3.0,Grace Lewis,15.081,595743
268,Andy Serkis,1333.0,2.0,George Clements,14.521,595743
269,Will Patton,883.0,2.0,Caleb Tucker,15.061,602223
270,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,672
271,Emma Watson,10990.0,1.0,Hermione Granger,23.219,672
