adult,backdrop_path,genre_ids,movie_id,original_language,original_title,overview,popular,poster_path,upcoming,title,video,vote_average,vote_count
False,,"[18, 35]",501841,en,A Journal for Jordan,"Chronicles Pulitzer Prize-winning journalist Dana Canedy's relationship with a soldier named Charles Monroe King. Deployed overseas in combat zones, he began writing a journal full of life lessons for their newborn son Jordan.",8.452,/op0tOXuuMr9vk9HGYpHlaMX3KkO.jpg,2021-12-10,A Journal for Jordan,False,0.0,0
False,/zF2GPfgXKhaqTSLqIrEkQ6jxMLa.jpg,"[18, 27]",804755,en,Agnes,"Rumors of demonic possession at a religious convent prompts a church investigation into the strange goings-on among its nuns. A disaffected priest and his neophyte are confronted with temptation, bloodshed and a crisis of faith.",8.415,/rZXlHmIKGULhV4UST72RcNV6FqF.jpg,2021-12-10,Agnes,False,0.0,0
False,,"[27, 53]",676547,en,The Devil's Light,"Sister Ann is a restless 25-year-old who devoutly believes that performing exorcisms is her calling. But she is at odds with the institution's traditions: nuns are not allowed to perform exorcisms, only priests. With the support of a mentor, a professor who senses her special gift, she is allowed to observe actual training sessions. Her desire to prove herself takes a personal turn when she meets one of the school's most disturbed patients. During their harrowing encounters, Sister Ann comes face to face with a demonic force that infests the school and has mysterious ties to her own past. It is then that the power of evil and her own startling abilities are fully realized.",8.29,/se0ucjFoQhYIfWQZqMx22dV0tA.jpg,2021-12-02,The Devil's Light,False,0.0,0
False,/3Vo3UT8cTa6lVgrFAT8B86FXblu.jpg,"[53, 80]",835112,en,Ted Bundy: American Boogeyman,"Set in a gritty and decadent 1970s America, American Boogeyman follows the elusive and charming killer and the manhunt that brought him to justice involving the detective and the FBI rookie who coined the phrase ‘serial killer’.",8.127,/1MGcMWgxYPFrBMjIAHcQqmsOIGS.jpg,2021-08-16,Ted Bundy: American Boogeyman,False,5.7,11
False,,[99],843857,en,Being Black in Porn,Being Black in Porn follows the lives of four gay men of color as they navigate their way in the competitive and often complicated adult film industry.,7.846,/7QC9t4fze5f86yAXbC1pV8kasZq.jpg,2021-12-01,Being Black in Porn,False,0.0,0
False,/kryYpNFiYyPUVC7SXrHk2pjRj4y.jpg,"[53, 27]",797946,en,The Djinn,A mute boy is trapped in his apartment with a sinister monster when he makes a wish to fulfill his heart’s greatest desire.,7.808,/thin7heIyFZp86hNNlPfyNINGNy.jpg,2021-05-14,The Djinn,False,6.2,71
False,/u26vgUZnG6BNZQtPpvhOVAmT8vj.jpg,"[28, 18, 37, 12]",729577,en,The Last Son,"Set in the late 19th cen­tu­ry, mur­der­ous out­law Isaac LeMay learns from a sooth­say­er that he is cursed by a ter­ri­ble prophe­cy: he will be killed by one of his chil­dren. To pre­vent his own death, he tracks down his spawn, whose blood­lines are con­firmed by a hered­i­tary birth­mark. Despite hav­ing boun­ty hunters and the enig­mat­ic sher­iff Solomon on his tail, LeMay even­tu­al­ly finds his son Cal, who himself is on a mur­der­ing rampage…",7.797,/2rJWB4Vhez6RQvnrlTCIAZKtNC9.jpg,2021-12-10,The Last Son,False,0.0,0
False,,"[10752, 18, 36]",597859,ru,Лётчик,"December of 1941, Northwestern Front. A German tank column is moving towards Moscow. During a mission to stop the enemy advance, Nikolai Komlev's IL-2 is shot down. Komlev manages to crash-land his plane in a remote forest clearing. He's alive, but far from friendly territory. Ahead of him is a relentless trial of severe physical and mental endurance. After battling hunger and extreme cold, evading packs of wolves and detachments of Nazi soldiers, the wounded Komlev finally makes it back to safety. But there he faces another challenge, the most life-changing of them all.",7.794,/msKnqw1OMiJnQQ7rOFh8Syglxfm.jpg,2021-12-02,The Pilot: A Battle for Survival,False,0.0,0
False,/5nxDn3mrdmeUHJOZi1Wfqya8Vji.jpg,[99],696109,en,A Glitch in the Matrix,"Are we in fact living in a simulation? This is the question postulated, wrestled with, and ultimately argued for through archival footage, compelling interviews with real people shrouded in digital avatars, and a collection of cases from some of our most iconoclastic figures in contemporary culture.",7.596,/bn0BLVadmvzq6MmJ0n97MLxGpNQ.jpg,2021-02-05,A Glitch in the Matrix,False,5.3,18
False,/ymtwNtiuZwbYa1Vetp68VOGgrw3.jpg,"[35, 18, 10749]",256,fr,Antoine et Colette,"Now aged 17, Antoine Doinel works in a factory which makes records. At a music concert, he meets a girl his own age, Colette, and falls in love with her. Later, Antoine goes to extraordinary lengths to please his new girlfriend and her parents, but Colette still only regards him as a casual friend. First segment of “Love at Twenty” (1962).",6.632,/nfP8J7pv75KOAliIM3RG7h6Zos5.jpg,1962-06-22,Antoine and Colette,False,7.3,156
