movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
814,An American Werewolf in London,1981-08-21,20.878,7.4,1693,10000000,31973249,R,"['Universal Pictures', ' Other', ' Other', ' Other']","['Horror', 'Comedy']"
5876,The Mist,2007-11-21,20.86,6.8,3723,18000000,57096190,R,"['Other', ' Dimension Films']","['Horror', 'Science Fiction', 'Thriller']"
20178,World's Greatest Dad,2009-08-20,20.856,6.6,435,10000000,221805,R,"['Other', ' Other']","['Comedy', 'Romance', 'Drama']"
10131,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,20.851,5.8,971,7000000,72500000,R,['New Line Cinema'],"['Horror', 'Thriller']"
296100,The Night Before,2015-11-20,20.848,6.1,1317,25000000,52395996,R,"['Sony Pictures', ' Good Universe', ' Point Grey Pictures']","['Comedy', 'Adventure', 'Fantasy']"
292280,The Bye Bye Man,2017-01-12,20.828,5.2,1030,7400000,26667197,PG-13,"['Other', ' Intrepid Pictures', ' STX Entertainment']","['Horror', 'Thriller']"
2023,Hidalgo,2004-02-04,20.824,6.8,903,100000000,108103450,PG-13,"['Touchstone Pictures', ' Other', ' Other']","['Western', 'Adventure', 'Action']"
8068,Desperado,1995-08-25,20.806,6.9,2157,7000000,25405445,R,"['Other', ' Columbia Pictures', ' Sony Pictures']","['Thriller', 'Action', 'Crime']"
9802,The Rock,1996-06-07,20.805,7.1,3507,75000000,335062621,R,"['Don Simpson/Jerry Bruckheimer Films', ' Hollywood Pictures']","['Action', 'Adventure', 'Thriller']"
137093,Last Vegas,2013-10-31,20.804,6.4,1757,28000000,134402450,PG-13,"['Other', ' CBS Films', ' Good Universe', ' Other', ' Other']",['Comedy']
109431,Identity Thief,2013-02-07,20.793,5.8,2825,35000000,173965010,R,"['Other', ' Other', ' Other', ' Universal Pictures']","['Comedy', 'Crime']"
941,Lethal Weapon,1987-03-06,20.789,7.3,3452,15000000,120207127,R,"['Silver Pictures', ' Warner Bros. Pictures']","['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
9481,The Bone Collector,1999-11-04,20.786,6.8,2605,73000000,151493655,R,"['Universal Pictures', ' Columbia Pictures']","['Drama', 'Mystery', 'Thriller', 'Crime']"
65057,The Descendants,2011-09-09,20.769,6.8,2167,20000000,177243185,R,"['Dune Entertainment', ' Fox Searchlight Pictures', ' Other']","['Comedy', 'Drama']"
10294,Vacancy,2007-04-20,20.754,6.2,1034,19000000,35300645,R,"['Screen Gems', ' Other']","['Horror', 'Thriller']"
226486,Tammy,2014-07-02,20.748,5.3,1019,20000000,100525432,R,"['Gary Sanchez Productions', ' New Line Cinema', ' Other']",['Comedy']
1588,Bring It On,2000-08-25,20.743,6.2,1338,28000000,90449929,PG-13,['Other'],['Comedy']
97020,RoboCop,2014-01-30,20.726,5.8,4499,120000000,242688965,PG-13,"['Columbia Pictures', ' Strike Entertainment', ' Metro-Goldwyn-Mayer']","['Science Fiction', 'Action']"
137321,Winter's Tale,2014-02-13,20.698,6.3,1116,60000000,30800231,PG-13,"['Weed Road Pictures', ' Village Roadshow Pictures', ' Warner Bros. Pictures']","['Drama', 'Fantasy', 'Mystery', 'Romance']"
1273,TMNT,2007-03-23,20.695,6.0,794,34000000,95608995,PG,"['Other', ' Other', ' Other', ' The Weinstein Company', ' Warner Bros. Pictures']","['Adventure', 'Animation', 'Comedy', 'Family']"
376867,Moonlight,2016-10-21,20.684,7.4,5855,4000000,65046687,R,"['Other', ' Plan B Entertainment', ' Other', ' Other', ' Other']",['Drama']
437557,Blockers,2018-03-14,20.662,6.3,1597,21000000,94017294,R,"['Other', ' Good Universe', ' DMG Entertainment', ' Point Grey Pictures', ' Universal Pictures']",['Comedy']
